"id","title","contains_table","published_at","url","legislative_term","ministries","ministries_short","org"
1086,"Abschaffung der Indologie und Kunstgeschichte Südasiens?",False,"2014-07-17","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14217.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","CDU"
1087,"Ausgrenzung von Schulen in freier Trägerschaft bei Fortbildungen (II)",False,"2014-07-09","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14163.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","CDU"
1090,"Kinderschutz online - Was ist VERA-net?",False,"2014-07-11","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14150.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1091,"Videoüberwachung in Berliner Kitas?",False,"2014-07-14","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14146.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1092,"Kinderschutz braucht Kinderschützer - Was sind die Ergebnisse der Abfragen des Senats in den bezirklichen Jugendämtern?",False,"2014-07-09","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14149.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1093,"Warum verzögert sich die Fertigstellung des Pier Nord am BER?",False,"2014-07-17","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14141.pdf",17,"Regierender Bürgermeister","RBm","Die Linke"
1096,"Kinderschutz braucht Kinderschützer (II) - Wie wird der Begriff ""Fall"" in den Bezirken und im Senat definiert und welche haushälterischen Auswirkungen haben unterschiedliche Definitionen?",False,"2014-07-14","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14147.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1097,"Warum hält der Senat seit Jahren an einem veralteten Musterjugendamt fest?",False,"2014-07-16","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14148.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1098,"Polizeieinsatz rund um die De-facto-Räumung der Gerhart-Hauptmann-Schule",False,"2014-07-17","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14154.pdf",17,"Senatsverwaltung für Inneres und Sport","SenInnSport","Piraten"
1099,"Konzeptverfahren ehemalige Polizeiwache Lichtenberg (II)",False,"2014-07-18","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14157.pdf",17,"Senatsverwaltung für Finanzen","SenFin","CDU"
1100,"Landeseigene Grundstücke des Liegenschaftsfonds Berlin im Bezirk Treptow-Köpenick",False,"2014-07-17","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14158.pdf",17,"Senatsverwaltung für Finanzen","SenFin","CDU"
1101,"Bushaltestelle Rathaus Steglitz (Bereich Schloßstraße 40) (II)",False,"2014-07-16","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14167.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Piraten"
1102,"ÖPNV-Seniorentickets in Berlin",False,"2014-07-10","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14127.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","CDU"
1103,"Soziale Arbeit zu Lasten der Mitarbeiter*innen?",False,"2014-07-14","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14124.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1104,"Verwendung von Haushaltsmitteln für sichere Behördenkommunikation",False,"2014-07-14","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14125.pdf",17,"Senatsverwaltung für Inneres und Sport","SenInnSport","Piraten"
1109,"Evaluation und Überarbeitung der Rahmenlehrpläne (II): Reformiert der Senat die traditionelle Ziffernbewertung?",False,"2014-07-10","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14097.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1110,"Grundstufen an Gemeinschaftsschulen",False,"2014-07-14","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14098.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1111,"3x5 - Bildung nach Bedarf - Eine dritte 5. Schnelllernerklasse am Rosa-Luxemburg-Gymnasium in Pankow?",False,"2014-07-15","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14099.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
